2 5 cm -f DENOISE.wav,2 5 cm -f.wav
0.42420833333333335,1.3335416666666666
1.222125,2.131625
2.0164583333333335,2.925708333333333
2.811125,3.7207083333333335
3.606375,4.515875
4.401625,5.311125
5.195458333333334,6.105125
5.9900416666666665,6.899541666666667
6.783708333333333,7.693208333333334
7.576958333333334,8.486458333333333
8.371041666666667,9.280541666666666
9.165875,10.075541666666666
9.960958333333334,10.870458333333334
10.757375,11.666875
11.554291666666666,12.463791666666667
12.351791666666667,13.261458333333334
13.149875,14.059208333333334
13.947875,14.857375
14.746125,15.655625
15.543958333333334,16.453791666666667
16.342375,17.251958333333334
17.141375,18.050875
17.940041666666666,18.850208333333335
18.741291666666665,19.650791666666667
19.542625,20.452291666666667
20.344291666666667,21.253625
21.145875,22.055541666666667
21.947875,22.857375
22.749875,23.659458333333333
23.552375,24.462041666666668
24.355041666666665,25.264458333333334
25.158041666666666,26.067291666666666
25.961875,26.871375
26.765875,27.675458333333335
27.570541666666667,28.480041666666665
28.375125,29.284458333333333
29.180541666666667,30.090041666666668
29.985708333333335,30.895291666666665
30.791291666666666,31.700875
31.596875,32.506708333333336
32.40329166666667,33.312875
33.21004166666667,34.11954166666667
34.016125,34.926291666666664
34.82395833333333,35.73320833333333
35.63129166666667,36.54145833333333
36.440041666666666,37.349625
37.248375,38.15795833333333
38.057375,38.966875
38.866375,39.775875
39.67545833333333,40.58479166666667
40.484125,41.39429166666667
41.29445833333333,42.20395833333333
42.10445833333333,43.013958333333335
42.915791666666664,43.824875
43.727125,44.636041666666664
44.538875,45.448375
45.350541666666665,46.25995833333333
46.163041666666665,47.072625
46.975541666666665,47.884458333333335
47.78820833333333,48.69745833333333
48.601125,49.510625
49.414875,50.32420833333333
50.228541666666665,51.138041666666666
51.042875,51.952708333333334
51.85820833333333,52.76779166666667
52.674625,53.583875
53.490291666666664,54.40045833333333
54.308375,55.217875
55.12470833333333,56.03420833333333
55.94220833333333,56.85220833333333
56.759625,57.669125
57.577625,58.487458333333336
58.39720833333333,59.306125
59.21604166666667,60.125375
60.035375,60.94495833333333
60.85545833333333,61.765125
61.675375,62.58504166666667
62.49670833333333,63.405125
63.31829166666667,64.226375
64.14104166666667,65.04804166666666
64.962375,65.869625
65.785375,66.691875
66.60804166666667,67.513625
67.431875,68.337125
68.255875,69.15995833333334
69.07970833333333,69.98379166666666
69.904125,70.80770833333334
70.73004166666666,71.63104166666666
71.555375,72.455875
72.38104166666666,73.28070833333334
73.20820833333333,74.10729166666667
74.03595833333334,74.93320833333334
74.86254166666667,75.758625
75.691125,76.58545833333334
76.51845833333333,77.41320833333333
77.346875,78.239875
78.17779166666666,79.067875
79.007125,79.89570833333333
79.83795833333333,80.72454166666667
80.66870833333333,81.55370833333333
81.50020833333333,82.38279166666666
82.33170833333334,83.21195833333333
83.16479166666667,84.04320833333334
83.997875,84.874125
84.83170833333334,85.70529166666667
85.66554166666667,86.53654166666666
86.50129166666666,87.369125
87.335875,88.20270833333333
88.17145833333333,89.03654166666666
89.00795833333333,89.870875
89.84529166666667,90.706125
90.683125,91.54070833333333
91.521375,92.37620833333334
92.36095833333333,93.21279166666666
93.200625,94.050125
94.04045833333333,94.887875
94.88179166666667,95.726125
95.722875,96.56579166666667
96.56495833333334,97.405375
97.40720833333333,98.24529166666666
98.249625,99.08604166666667
99.09220833333333,99.92779166666666
99.93470833333333,100.76970833333333
100.77870833333333,101.61154166666667
101.62245833333333,102.45445833333333
102.466625,103.296875
103.31120833333334,104.13979166666667
104.155875,104.98345833333333
105.00095833333333,105.827375
105.84745833333334,106.67129166666666
106.69495833333333,107.51595833333333
107.54245833333333,108.36079166666667
108.39070833333334,109.205625
109.23870833333334,110.05179166666667
110.091125,110.886375
110.93979166666666,111.74370833333333
111.789125,112.59020833333334
112.63470833333334,113.43770833333333
113.48470833333333,114.28520833333333
114.33454166666667,115.13345833333334
115.19120833333334,115.98145833333334
116.03570833333333,116.833875
116.89029166666667,117.68254166666667
117.737875,118.531875
118.59354166666667,119.37745833333334
119.44570833333333,120.22745833333333
120.298125,121.07729166666667
121.153875,121.93395833333334
122.00379166666667,122.77845833333333
122.85345833333334,123.63304166666667
123.71470833333333,124.480625
124.567625,125.33629166666667
125.421375,126.18845833333333
126.26945833333333,127.040875
127.13054166666667,127.896625
127.98279166666667,128.74654166666667
128.837625,129.59620833333332
129.696875,130.45745833333334
130.54895833333333,131.310375
131.408625,132.164125
132.26504166666666,133.01220833333332
133.115625,133.87329166666666
133.97845833333332,134.72554166666666
134.83479166666666,135.580375
135.68979166666668,136.439625
136.54720833333334,137.29170833333333
137.40729166666668,138.151375
,139.00779166666666
,139.858375
,140.72120833333332
,141.57754166666666
,142.43254166666668
,143.28995833333335
,144.15004166666668
